date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_min_kwh,soc_max_kwh,grid_kwh
2025-02-01,15573.521553442284,20927.24677015237,36500.76832359465,6838.50417427984,1200.0,10800.0,31280.245979012347
2025-02-02,42114.24432172968,47548.78669942602,89663.03102115571,12455.631324897116,1200.0,10800.0,70395.12623539094
2025-02-03,42819.952578874356,50467.83512726161,93287.78770613598,13410.80875679012,1200.0,10800.0,71327.53334115224
2025-02-04,41994.122965208146,59341.74726449072,101335.87022969886,15655.11957263374,1200.0,10800.0,70231.45501234567
2025-02-05,42301.013297172794,54627.483901455445,96928.49719862823,14660.8026718107,1200.0,10800.0,70665.72936460905
2025-02-06,42478.01291546096,52214.56804704517,94692.58096250612,13967.036367695477,1200.0,10800.0,70937.15849897118
2025-02-07,15511.737141966667,18851.246373577582,34362.98351554425,6373.5902232510325,1200.0,10800.0,30928.18903333333
2025-02-08,15419.663706566665,16486.49409467717,31906.157801243837,5323.607358847739,1200.0,10800.0,30826.382066666665
2025-02-09,42056.77659548339,51325.60992608858,93382.38652157197,13926.820695473252,1200.0,10800.0,70237.8318829218
2025-02-10,41883.31075066901,33485.8362496839,75369.14700035291,8612.440117664613,1200.0,10800.0,70142.02603436213
2025-02-11,42067.66326458845,36665.63387130755,78733.297135896,9512.879893378606,1200.0,10800.0,70140.1747936214
2025-02-12,42043.6586636266,37681.36860095781,79725.02726458441,9670.500011880657,1200.0,10800.0,70058.29090041152
2025-02-13,41912.44927517309,23095.832476673764,65008.28175184685,5899.507684156377,1200.0,10800.0,69983.03536831276
2025-02-14,15582.688549391238,13856.168424795658,29438.856974186896,4401.4683654320925,1200.0,10800.0,31059.627791358027
2025-02-15,15616.041214341667,13878.789372182404,29494.83058652407,4345.374130041151,1200.0,10800.0,31062.819066666663
2025-02-16,41925.51200734889,36651.30459452638,78576.81660187527,9839.229567592593,1200.0,10800.0,69945.61864074072
2025-02-17,41662.692107275914,22536.827224083667,64199.51933135958,5933.152417901241,1200.0,10800.0,69627.93619382715
2025-02-18,41971.21932423185,24506.916765626887,66478.13608985874,6504.662312456785,1200.0,10800.0,70011.66170987654
2025-02-19,42329.40510767481,27523.039780549767,69852.44488822458,6967.933771043212,1200.0,10800.0,70529.4266067901
2025-02-20,41827.580298055866,21564.1835745648,63391.763872620664,5517.136546913576,1200.0,10800.0,69766.98907201645
2025-02-21,15398.357331668332,10292.198004704635,25690.555336372967,3325.8645812757213,1200.0,10800.0,30877.491716666664
2025-02-22,15510.092027604998,10802.86119744321,26312.953225048208,3375.929405144033,1200.0,10800.0,30928.4623
2025-02-23,41873.568596507655,22367.733333392873,64241.301929900525,6079.192917078184,1200.0,10800.0,69800.0394600823
2025-02-24,41604.97624559864,13625.246409464924,55230.22265506357,3257.715433127574,1200.0,10800.0,69304.42599238682
2025-02-25,41868.326046691414,9013.21501642872,50881.54106312014,2047.1871506172874,1200.0,10800.0,69744.72758497942
2025-02-26,41829.58911235203,13596.202302687769,55425.7914150398,3430.352097736628,1200.0,10800.0,69735.94685864197
2025-02-27,41746.72903895654,15167.994254059242,56914.72329301578,3663.347043209873,1200.0,10800.0,69284.96061193415
2025-02-28,15310.203684134996,7992.262848101547,23302.466532236544,2545.644288477367,1200.0,10800.0,30521.335016666664
2025-03-01,14684.465036841664,8951.814942162764,23636.27997900443,2759.7004121399186,1200.0,10800.0,29001.483716666662
2025-03-02,39907.84643663839,36057.897016616065,75965.74345325446,10376.437378251032,1200.0,10800.0,66523.18458292181
2025-03-03,39919.74579185419,35772.91860416352,75692.6643960177,9821.306472372431,1200.0,10800.0,66634.45994979424
2025-03-04,39852.82974203797,24159.66811283024,64012.49785486821,6798.550895524691,1200.0,10800.0,66795.58858024691
2025-03-05,39937.658457722035,14016.529753408042,53954.18821113008,3766.5021870370438,1200.0,10800.0,66717.85430308641
2025-03-06,39669.130154438084,14471.197420210801,54140.32757464889,3851.809416781892,1200.0,10800.0,66350.18735720163
2025-03-07,14436.327148458335,6617.9719345262565,21054.29908298459,1899.7167808333345,1200.0,10800.0,28615.840599999996
2025-03-08,14705.019741439999,5675.102851882675,20380.122593322674,1683.176271333335,1200.0,10800.0,29166.070766666664
2025-03-09,39746.8222398621,7098.972069430547,46845.79430929264,1634.8689259259231,1200.0,10800.0,66354.90876934156
2025-03-10,39797.907722316355,18722.707540503805,58520.61526282016,5621.455830452676,1200.0,10800.0,66572.43772427982
2025-03-11,39523.566418748516,8143.666285341356,47667.232704089874,2079.8800985596686,1200.0,10800.0,66138.81433765432
2025-03-12,39939.6362007566,5239.35049395155,45178.98669470815,1135.4896646090538,1200.0,10800.0,66757.70625596707
2025-03-13,40205.07638467098,15862.42285490606,56067.49923957704,4818.609365489718,1200.0,10800.0,66905.92683230451
2025-03-14,14574.47399814833,3580.3461996333303,18154.82019778166,999.6980166666654,1200.0,10800.0,28798.27143333333
2025-03-15,15127.249325466664,3269.43482040833,18396.684145874995,1005.7793333333323,1200.0,10800.0,29685.394583333335
2025-03-16,39754.245432014315,5296.825796941687,45051.071228956,1389.4361888888934,1200.0,10800.0,66645.12562119341
2025-03-17,39722.00438914673,2228.687698424994,41950.69208757172,404.3926999999991,1200.0,10800.0,66349.73581625515
2025-03-18,39347.523335235055,4782.22760261817,44129.75093785323,1070.5465628333338,1200.0,10800.0,65916.18812736624
2025-03-19,39341.06765279178,3167.557490401674,42508.62514319346,698.1660716666679,1200.0,10800.0,65940.46356584362
2025-03-20,39774.87314946821,2853.665294950001,42628.538444418205,558.5876833333336,1200.0,10800.0,66321.64844526749
2025-03-21,14788.089161903332,1763.9329690416619,16552.022130944995,434.10051666666567,1200.0,10800.0,29232.071766666668
2025-03-22,14593.551800983332,1482.7236842750021,16076.275485258335,308.4252,1200.0,10800.0,28996.081316666663
2025-03-23,39829.29549136826,1461.6022100916744,41290.89770145994,248.32200000000117,1200.0,10800.0,66399.98622818929
2025-03-24,39453.896430400055,1461.0764906833292,40914.97292108338,248.9936833333327,1200.0,10800.0,66077.87276069958
2025-03-25,39975.753974909996,1375.5618216083194,41351.31579651831,232.32459999999784,1200.0,10800.0,66704.73573888888
2025-03-26,39666.66103251808,1263.93643000833,40930.59746252641,211.04224999999948,1200.0,10800.0,66343.9301627572
2025-03-27,39803.35346326216,1223.3784059916543,41026.73186925381,203.9442499999981,1200.0,10800.0,66609.63597448559
2025-03-28,14503.607571879997,939.4626748777604,15443.070246757758,192.75577350000177,1200.0,10800.0,28805.881516666665
2025-03-29,14768.313603039998,909.1161194749898,15677.429722514988,184.32144999999792,1200.0,10800.0,29205.263549999996
2025-03-30,39796.96613245845,1001.1093345666715,40798.075467025126,163.66451666666742,1200.0,10800.0,66650.87478251028
2025-03-31,39187.69258273759,1041.291618916669,40228.98420165426,171.8322000000004,1200.0,10800.0,65719.29606604937
2025-04-01,39855.515274773265,967.3337925583571,40822.84906733162,159.14266666667038,1200.0,10800.0,66640.59575596708
2025-04-02,39881.88964629463,1993.2331784256803,41875.12282472031,462.83157700000305,1200.0,10800.0,66650.99824691357
2025-04-03,39783.911716113085,770.3797057916659,40554.29142190475,123.49241666666651,1200.0,10800.0,66547.6937127572
2025-04-04,14514.415379395003,501.37062878333506,15015.786008178338,101.58456666666703,1200.0,10800.0,28764.20705
2025-04-05,14873.581021199996,541.2677301333379,15414.848751333335,109.66826666666759,1200.0,10800.0,29353.68393333333
2025-04-06,39355.74124766752,683.3220274333356,40039.06327510086,109.33743333333369,1200.0,10800.0,65853.522627572
2025-04-07,39032.61573609679,663.0550237333186,39695.67075983011,106.145983333331,1200.0,10800.0,65654.7114047325
2025-04-08,39791.091069637034,640.4124248083352,40431.503494445366,102.4364000000003,1200.0,10800.0,66365.83600864197
2025-04-09,39665.46546881,536.6105454416696,40202.07601425167,85.68425000000045,1200.0,10800.0,66340.67739444444
2025-04-10,39779.852284046174,542.1893757749847,40322.04165982116,86.61848333333096,1200.0,10800.0,66318.54265884774
2025-04-11,14759.73639877,164.55977003334004,14924.29616880334,33.34206666666803,1200.0,10800.0,29240.358016666665
2025-04-12,14541.500880216663,255.64466930833441,14797.145549524997,51.79711666666689,1200.0,10800.0,28770.841416666663
2025-04-13,39462.67368314802,422.98246705000497,39885.656150198025,67.6108500000008,1200.0,10800.0,65956.05997983538
2025-04-14,39834.14266729117,345.6939576416644,40179.83662493283,55.20349999999964,1200.0,10800.0,66575.1941366255
2025-04-15,39414.44003535721,302.76983760834213,39717.209872965555,48.34966666666804,1200.0,10800.0,65715.56761851851
