date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_min_kwh,soc_max_kwh,grid_kwh
2025-02-01,12475.538456625,16902.49185291667,29378.03030954167,6370.058466666671,1200.0,10800.0,32061.4508
2025-02-02,45358.12355819854,56316.53956056276,101674.6631187613,12449.2160218107,1200.0,10800.0,70395.12623539094
2025-02-03,46850.99216197839,61415.28442324319,108266.27658522158,13289.83702736625,1200.0,10800.0,71451.32654711933
2025-02-04,46122.99177039173,71308.9454146463,117431.93718503803,15451.651305349793,1200.0,10800.0,70389.78834567902
2025-02-05,46223.441339561236,66741.4951962503,112964.93653581153,14599.13832037037,1200.0,10800.0,70808.83565617283
2025-02-06,46293.37680277463,63424.369753301864,109717.74655607648,13726.229820370372,1200.0,10800.0,71231.49406296296
2025-02-07,12460.21423615432,15167.925974528405,27628.140210682723,6083.443783950621,1200.0,10800.0,31603.305782716045
2025-02-08,12150.912548941667,13267.36522863334,25418.277777575007,5001.329683333335,1200.0,10800.0,31618.048733333333
2025-02-09,45628.60926375193,61505.862385807006,107134.47164955894,13560.917417078193,1200.0,10800.0,70332.8318829218
2025-02-10,44481.56631996471,38326.96060477313,82808.52692473785,8452.137629804532,1200.0,10800.0,70395.35936769546
2025-02-11,45076.025339538595,42495.542693366675,87571.56803290527,9412.076348148152,1200.0,10800.0,70140.1747936214
2025-02-12,44816.11061910626,43295.90683301097,88112.01745211723,9680.297504732502,1200.0,10800.0,70058.29090041152
2025-02-13,44261.03028731718,26463.166916461283,70724.19720377846,5740.6392427983465,1200.0,10800.0,69983.03536831276
2025-02-14,12273.743381031669,10971.626871766646,23245.370252798315,4008.29336666666,1200.0,10800.0,31987.475433333333
2025-02-15,12634.641659789424,11324.394087066255,23959.03574685568,3946.800148353909,1200.0,10800.0,31824.6115563786
2025-02-16,44872.394618120925,43265.39676719721,88137.79138531814,9840.399340123457,1200.0,10800.0,69945.61864074074
2025-02-17,44474.63527999588,25668.33074160262,70142.96602159849,5741.5572516728425,1200.0,10800.0,69791.6673255144
2025-02-18,44155.13392150952,28045.52328233214,72200.65720384166,6372.370457899176,1200.0,10800.0,70191.61262883744
2025-02-19,44490.85266198446,31421.264184855376,75912.11684683984,6941.9620403292265,1200.0,10800.0,70883.4250872428
2025-02-20,44550.92798138823,24867.1495064903,69418.07748787853,5412.382572427977,1200.0,10800.0,70030.07637983537
2025-02-21,12423.858418306667,8050.490744891669,20474.349163198334,3126.425983333334,1200.0,10800.0,31510.825049999996
2025-02-22,12585.923195783333,8816.352932875,21402.276128658334,3237.8390666666664,1200.0,10800.0,31561.795633333328
2025-02-23,44346.78354552971,25392.76663869094,69739.55018422066,5922.4236473251,1200.0,10800.0,69958.37279341563
2025-02-24,43993.067035842614,15033.969406431808,59027.036442274424,3188.8825419753125,1200.0,10800.0,69462.75932572017
2025-02-25,43589.9324141001,10487.50824640772,54077.44066050782,2165.65588106996,1200.0,10800.0,69898.48801707818
2025-02-26,44163.58734832074,15235.61801885043,59399.20536717117,3424.9724353909505,1200.0,10800.0,69894.2801919753
2025-02-27,42917.91304036734,16518.939236465732,59436.85227683307,3505.0137098765417,1200.0,10800.0,69443.29394526748
2025-02-28,11902.996258811663,6308.278658408335,18211.27491722,2472.7822166666674,1200.0,10800.0,30996.335016666664
2025-03-01,11541.797964355925,7213.551084608645,18755.34904896457,2881.5268561728394,1200.0,10800.0,29632.505441975307
2025-03-02,41703.236631522814,41616.70932697899,83319.9459585018,10360.62299917695,1200.0,10800.0,66906.15708600823
2025-03-03,41632.58339023113,40518.796856588146,82151.38024681927,9826.299879222224,1200.0,10800.0,66753.37446399176
