date,planned_cost_yuan,settlement_cost_yuan,adjustment_fee_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,planned_grid_kwh,adjusted_grid_kwh,soc_min_kwh,soc_max_kwh
2025-02-01,16209.953668283024,16472.192904470892,262.2392361878683,1305.2996722222206,17777.492576693112,352.2590916666662,38751.37945308642,39264.56649962277,1200.0,10800.0
2025-02-02,57758.24857229917,57469.92419001631,-288.324382282859,2582.005107151235,60051.929297167546,570.4562715555579,84358.56115,82956.9236863611,1200.0,10800.0
2025-02-03,61816.28045025277,60170.82979257458,-1645.4506576781932,3844.968825953398,64015.79861852798,751.1317765555572,87878.2343,84177.49504166667,1200.0,10800.0
2025-02-04,63123.86841532666,61783.0931958163,-1340.7752195103603,3052.282900675223,64835.37609649152,621.514592866945,89137.60938333333,86031.25639705075,1200.0,10800.0
2025-02-05,58976.32657102722,60595.66654464294,1619.3399736157226,1449.0069901169918,62044.67353475993,272.9608168333318,84640.26042849795,85729.27688748285,1200.0,10800.0
2025-02-06,63949.87379747722,61381.56876669517,-2568.305030782052,2592.7239849201583,63974.29275161533,538.8146641289422,90492.14906666667,84892.02601694444,1200.0,10800.0
2025-02-07,16550.174012522843,15984.216777851423,-565.9572346714194,604.3511508383338,16588.567928689758,156.10399666666677,40221.944804458166,37603.688525000005,1200.0,10800.0
2025-02-08,14243.29814260707,14739.048113924568,495.7499713174984,1561.8583916152825,16300.90650553985,427.6804916666681,35717.674385493825,36198.35709382716,1200.0,10800.0
2025-02-09,59603.501507391666,59961.69461954567,358.19311215400376,892.7773020014973,60854.47192154716,163.4548869999995,85686.0514622085,85236.25615134739,1200.0,10800.0
2025-02-10,54429.80251053194,53273.41598873823,-1156.3865217937127,3045.2518686027697,56318.667857340995,768.7658699999982,81611.62998333333,78544.3875064129,1200.0,10800.0
2025-02-11,56105.02854586403,54554.31674685019,-1550.7117990138358,5233.678667330969,59787.99541418116,1105.286505277777,82602.34414002058,78550.53021869,1200.0,10800.0
2025-02-12,55749.79831360874,53960.78750716173,-1789.0108064470114,6725.011283881164,60685.79879104289,1493.139141181068,82580.56822551439,78308.18625740739,1200.0,10800.0
2025-02-13,50551.371846783586,50461.0640942889,-90.3077524946857,3949.937992752563,54411.00208704147,843.0541250555569,77202.60926258573,75443.64777685185,1200.0,10800.0
2025-02-14,14192.321749386527,14768.646154810694,576.3244054241677,557.6481234444443,15326.294278255138,150.74153333333328,35713.86554861111,36280.81730972222,1200.0,10800.0
2025-02-15,14883.242083801368,15192.639724763867,309.3976409624993,1899.080492725001,17091.720217488866,708.86355,35623.17933971193,36123.06241471193,1200.0,10800.0
2025-02-16,56863.21120778971,54170.784501051996,-2692.426706737715,10640.097348555344,64810.881849607336,2436.959121399176,83990.99091666666,77479.57400113167,1200.0,10800.0
2025-02-17,55675.974788598134,52325.633197340096,-3350.3415912580385,3916.1545401500853,56241.78773749018,932.255524684159,83497.95841289437,74828.91571975307,1200.0,10800.0
2025-02-18,48714.940687269205,51087.348809376774,2372.4081221075685,2769.419824487241,53856.76863386401,607.2621450960213,74978.59182158022,77175.23102693382,1200.0,10800.0
2025-02-19,49367.814964527126,50636.88603334804,1269.0710688209147,5352.131636111535,55989.01766945957,1235.6060566111125,75937.31968888888,76819.94667716906,1200.0,10800.0
2025-02-20,51290.61953745401,50376.93000382595,-913.6895336280577,4096.242792030733,54473.172795856684,834.2985293611105,78053.8626919753,75048.45203909292,1200.0,10800.0
2025-02-21,13679.402754937579,13862.3136834739,182.91092853632108,1282.5006126333305,15144.81429610723,363.0449416666661,34092.52363341666,34274.30069166666,1200.0,10800.0
2025-02-22,14116.193846583701,14180.226908946537,64.03306236283606,1582.2044447988847,15762.431353745422,432.7901610555532,34351.33839382716,34330.83799388271,1200.0,10800.0
2025-02-23,50563.31592374604,49983.47411241091,-579.841811335129,4648.39596058626,54631.870072997175,1108.2547466941028,77480.2794805,74962.43429015775,1200.0,10800.0
2025-02-24,48446.933525085245,48699.76876141557,252.83523633032746,971.1811040731375,49670.949865488714,179.45812263374296,73712.80231882716,73945.37066886145,1200.0,10800.000000000002
2025-02-25,49299.554501171195,46915.02971063308,-2384.524790538111,3593.11768387312,50508.1473945062,807.8917083580291,76698.77625010286,70436.98377734155,1200.0,10800.0
2025-02-26,44636.4235935317,47748.73047555941,3112.3068820277113,4157.302218089203,51906.03269364861,901.419834500002,69878.64658137859,72877.06490985802,1200.0,10800.000000000002
2025-02-27,44661.039776212194,45589.06853061354,928.0287544013481,3172.5867339205533,48761.65526453409,638.8245066666661,70707.617939369,70987.99229711933,1200.0,10800.0
2025-02-28,12977.720056096994,13134.372626719849,156.6525706228549,1696.1494893099218,14830.522116029771,512.04780702778,32942.18528940329,32978.837910665294,1200.0,10800.0
